;1. ;2. ;3. 4. ;5. ;6. ;7. Il ;8. 9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;I 20. ;21. I ;22. ;23. I 24. ;25. ;26. ;27. ;28. 29. ;30. ;31. ;32. ;33. ;34. ;35 ;36. ;37. ;38. ;39. ;40. ;41. 1 ;
;;;;Däraf ;antal ;brukningsdelar, ;som ;brukas af ;;Antal ;Hela ;;D ä ;r a f ;;;o d 1 ;a d a ;g o V ;d d e ;n 8 a n V ;ä n d ;n i n ;g. ;;;U t ;s ã ;d ;e ;o c ;h $ ;k ö ;r d ;;;;
;;Nu- ;Antal bruk- ;Ägarne brukningsdelar ;själfva: med ;odlad ;Brukare (af brukningsdelar ;andras med ;jord): odlad ;jord- torp och ;ägo- vidden ;Träd- humle- ;Aker och ;Natur- ;Skog- ;;Varsäd. ;;Rotfrukter. ;;Gräs och Spa- foderväxter ;andra ;Andra ;;H ö 8 t ;$ ã ;d. ;;;V ;& ;S ä d: ;S t ;r à 8 ;ä d. ;;do ;
;Omrâde. ;varande mantal. ;nings- ;jord ;om ;;jord ;om ;;andra jord- ;(utan ;och kâl- ;aunan odlad ;lig äng. ;bäran- de ;Höst- säd. ;Strasäd ;Balj- vüx- ;Potatis ;Andra rot- ;nads- väx- till bete ;till hö- ;växt- slag. ;Träde. ;(Höst-)Hvete. ;(Höst-)Râg. ;;(Vâr-)Hvete. ;;(Var-)Râg. ;;Korn. ;;Hafre. ;;Blandsäd. ;;
;(Socknar och härad samt städer.) ;;delar. högst 2 t ;öfver m. ;20 o. m. ;öfver 100 ;högst öfver 2hek-|t m. ;2ofver 20 m. ;öfver 100 ;lügen- ;vatten) ;gärd. ;jord. ;;mark. ;;;ter. ;;frukt. ;ter. grönf. ;skörd. ;;;Utsäde Skörd. ;Utsüde ;Skörd. ;Utsäde. ;Skörd. ;Utsäde. ;Skörd. ;Utsäde. ;Skörd. ;Utsüde. ;Skörd. ;Utsüde ;Skörd. ;
;;;hektar. ;20 har. ;100 har. ;har. ;tar. 20 har ;100 har. ;har. ;heter. ;;H ;k t ;a r. ;;;;;H ;e k ;t a r. ;;;;;;;H e ;k ;t ;o I ;i ;t e ;r. ;;;;
32 ;Bjäresjö ;23:938 ;50 11 ;8 ;1 ;;1 12 ;14 ;3 ;30 ;1,855 ;22 ;1,511 ;33 ;70 ;290 ;449 ;19 ;49 ;237 ;67 ;319 ;3 ;78 ;502 6,231 ;270 ;1,890 ;- ;- ;3 ;28 ;636 ;6,360 ;548 ;5,480 ;330 ;3,069 32 ;
33 ;Borrie ;5187 ;10 ;;;- ;;9 ;1 ;;408 ;4 ;387 ;2 ;- ;63 ;148 ;2 ;8 ;15 ;-- 53 ;65 ;;33 ;78 930 ;96 ;960 ;- ;- ;- ;- ;168 ;1,736 ;160 ;1,640 ;173 ;2,080,88 ;
34 35 ;Bromma Hedeskoga ;15:477 12-896 ;114 36 55 21 ;60 15 ;2 2 ;-- - ;3 6 3° 12 ;7 2 ;- - ;1 10 ;969 774 ;40 16 ;822 661 ;18 35 ;2 ;113 115 ;285 225 ;22 6 ;26 15 ;70 901 ;- 41 - 35 ;191 129 ;- 2 ;69 44 ;135 1,620 208 2,573 ;196 97 ;1,984 672 ;- - ;;;- ;276 297 ;2,852 2,970 ;280 288 ;2,100 2,880 ;410 180 ;3,690 34 1,674|35 ;
36 ;Högestad ;14875 ;21 ;2 ;1 ;;14 ;2 ;2 ;15 ;1,321 ;20 ;931 ;32 ;90 ;139 ;289 ;4 ;52 ;45 ;- 76 ;211 ;;115 ;112 1,350 ;285 ;1,995 ;- ;;;;300 ;3,000 ;396 ;3,960 ;300 ;3,780  ;
37 ;Stora Herrestad ;35-542 ;147 45 ;88 ;3 ;3 ;4 ;3 ;1 ;- ;2,109 ;42 ;1,643 ;12 ;36 ;271 ;464 ;6i ;118 ;233 ;- 309 ;187 ;1 ;54 ;275 3,300 ;483 ;4,830 ;- ;- ;;;441 ;6,027 ;464 ;4,640 ;673 ;6,262 : ;
38) ;Stora Köpinge ;43:375 ;204 60 ;107 ;23 ;;1 4 ;8 ;1 ;;3,074 ;51 ;2,314 ;76 ;108 ;345 ;606 ;26 ;236 ;267 ;- 141 ;576 ;2 ;115 ;125 1,250 ;885 ;8,260 ;;;12 ;112 ;378 ;3,906 ;608 ;4,712 ;1,075 ;9,690% ;
39) ;Söfvestad ;32-063 ;76 ;;2 ;1 ;32 ;40 ;1 ;16 ;3,907 ;66 ;2,631 ;79 ;35 ;373 ;981 ;87 ;77 ;133 ;- 107 ;592 ;;285 ;580 7,192 ;423 ;4,371 ;32 ;324 ;- ;- ;1,035 ;10,350 ;1,208 ;9,362 ;1,065 ;9.630(3 ;
40 ;Oja ;15 917 ;53 24 ;21 ;2 ;1 ;1 3 ;1 ;;7 ;712 ;25 ;559 ;69 ;--- ;96 ;166 ;;16 ;77 ;37 ;130 ;2 ;35 ;187 3,000 ;63 ;778 ;- ;- ;- ;- ;213 ;2,840 ;128 ;1,312 ;206 ;2,542 ;
;Herrestads härad ;215-583 ;771 198 ;327 ;46 ;7 ;9 88 ;87 ;9 ;92 ;17,369 ;314 ;12,669 ;514 ;547 ;1,979 ;3,960 ;179 ;637 ;1,256 ;- 1,001 ;2,688 ;10 ;959 ;2,283 28,436 ;3,209 ;28,611 ;32 ;324 ;15 ;140 ;3,961 ;42,201 ;4,684 ;42,277 ;4,822 ;47,829 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41 ;Balkikra ;17:875 ;48 16 ;15 ;6 ;1 ;9 ;1 ;- ;6 ;1,042 ;11 ;786 ;87 ;130 ;145 ;243 ;6 ;16 ;139 ;- 83 ;120 ;2 ;32 ;285 3,534 ;93 ;961 ;;;;- ;420 ;4,340 ;268 ;3,350 ;119 ;1,548 ;
42 ;Katslösa ;11-063 ;93 19 ;61 ;4 ;;1 7 ;;- ;;950 ;15 ;865 ;20 ;18 ;132 ;322 ;16 ;15 ;102 ;- 83 ;117 ;1 ;77 ;225 2,790 ;126 ;1,302 ;2 ;27 ;3 ;28 ;462 ;4,774 ;300 ;3,750 ;303 ;3,913 ;
43) ;Sjörup ;16:583 ;225 113 ;103) ;3 ;1 ;2 ;3 ;- ;- ;1,492 ;26 ;1,325 ;31 ;38 ;208 ;488 ;21 ;29 ;194 ;- 115 ;185 ;;85 ;193 2,387 ;393 ;4,061 ;2 ;27 ;3 ;28 ;603 ;6,231 ;536 ;6,700 ;499 ;6,450 ;
44) ;Skirby ;17-104 ;117 20 ;76 ;13 ;2 ;1 2 ;2 ;1 ;4 ;1,999 ;30 ;1,619 ;39 ;249 ;299 ;513 ;17 ;44 ;182 ;- 153 ;330 ;2 ;79 ;515 8,240 ;279 ;3,162 ;- ;;;;621 ;6,210 ;756 ;7,560 ;390 ;6,680 ;
45 ;Spärestad ;8.875 ;114 57 ;37 ;5 ;1 ;9 ;5 ;- ;;1,218 ;32 ;1,036 ;36 ;40 ;144 ;366 ;11 ;27 ;183 ;- 105 ;152 ;6 ;42 ;225 3,600 ;165 ;1,870 ;3 ;27 ;- ;- ;492 ;4,920 ;393 ;3,920 ;343 ;4,320 ;
46 ;Villie. ;24-594 ;220 64 ;119 ;9 ;2 ;7 19 ;;- ;5 ;2,961 ;59 ;2,409 ;20 ;298 ;404 ;725 ;37 ;58 ;289 ;- 284 ;441 ;;171 ;582 8,920 ;540 ;4,030 ;- ;-- ;- ;- ;969 ;12,920 ;828 ;12,627 ;646 ;9,894 ;
47 ;Västra Nöbbelöf Ijjunits härad ;17-458 113-552 ;142 75 959 364 ;39 450 ;15 35 ;8 ;7 3 16 51 ;3 14 ;- 1 ;- 15 ;1,137 10,799 ;20 193 ;990 9,030 ;43 276 ;1 774 ;147 1.479 ;396 3,053 ;3 111 ;24 213 ;152 1,241 ;- 91 - 914 ;111 1,456 ;1 12 ;65 551 ;280 4,520 2,305 33,991 ;102 1,698 ;1,054 16,440 ;- 7 ;- 81 ;6 12 ;56 112 ;603 4,170 ;8,040 47.435 ;396 3,476 ;6,039 43,946 ;313 2,613 ;4,794 37,599 ;
;Summa för landsbygden ;4,073-932 ;23,554 5,732 ;10,013 ;2,825 ;183 ;673 2,228 ;1,694 ;206 ;5,005 ;464,673 ;7,565 ;334,945 ;14,579 ;43,754 ;54,397 ;110,498 ;2,551 ;12,091 ;36,518 ;15 26,922 ;67,308 ;619 ;24,026 ;72,615 988,178 ;75,700 ;641,879 ;1,313 ;13,201 ;1,793 ;16,641 ;99,363 ;1,073,371 ;152,300 ;1,488,568 ;128,392 ;1,860,046 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48 ;Malmö ;45094 ;92 10 ;14 ;2 ;- ;3 54 ;8 ;1 ;- ;1,782 ;158 ;884 ;105 ;- ;122 ;306 ;2 ;73 ;105 ;- 60 ;129 ;70 ;17 ;169 2,479 ;165 ;1,705 ;- ;- ;51 ;476 ;378 ;3,780 ;324 ;4,212 ;273 ;3,280 ;
49 ;Lund ;37-000 ;61 7 ;14 ;1 ;- ;3 25 ;11 ;- ;- ;1,205 ;55 ;754 ;5 ;;131 ;251 ;3 ;8 ;143 ;44 ;164 ;1 ;9 ;302 3,751 ;30 ;310 ;- ;- ;6 ;56 ;288 ;3,840 ;192 ;2,880 ;352 ;5,300 ;
50 ;Landskrona ;13:750 ;49 8 ;29 ;7 ;- ;4 ;1 ;- ;- ;1,057 ;12 ;544 ;- ;19 ;100 ;159 ;4 ;10 ;115 ;34 ;80 ;38 ;4 ;230 3,680 ;24 ;280 ;- ;- ;;;198 ;2,640 ;212 ;2,968 ;136 ;1,681 ;
51 ;Hälsingborg ;14:125 ;32 ;3 ;1 ;1 ;1 25 ;1 ;- ;- ;862 ;45 ;310 ;- ;2 ;48 ;84 ;;27 ;40 ;- 25 ;60 ;14 ;12 ;72 1,160 ;57 ;589 ;-- ;;- ;- ;30 ;500 ;252 ;3,150 ;36 ;550 ;
52 ;Ystad ;15 750 ;35 10 ;11 ;;- ;4 10 ;;- ;- ;1,043 ;48 ;174 ;3 ;428 ;23 ;55 ;1 ;9 ;37 ;- 9 ;34 ;6 ;;35 434 ;27 ;189 ;- ;;;- ;39 ;390 ;96 ;960 ;59 ;558 ;
